case_name,max_required_overload_g,max_actual_overload_g,miss_distance_m,intercepted,flight_time_s
无姿态回路,39.644975,10.0,8787.191647,False,5.62
二阶姿态回路,39.70544,10.0,8719.940941,False,5.87
