case_name,max_required_overload_g,max_actual_overload_g,miss_distance_m,intercepted,flight_time_s,saturation_ratio
无姿态回路,3.314607,3.314607,1.464807,False,13.41,0.0
二阶姿态回路,3.345406,3.384162,2.172047,False,13.41,0.0
