case_name,missile_speed_mps,target_speed_mps,initial_range_m,initial_los_deg,max_required_overload_g,max_actual_overload_g,miss_distance_m,intercepted,flight_time_s,saturation_ratio
R0=1000.0,408.0,272.0,1000.0,90.0,202.881139,20.0,4.034827,True,4.41,0.399093
R0=2000.0,408.0,272.0,2000.0,90.0,10.664052,10.664052,4.01684,True,8.8,0.0
R0=5000.0,408.0,272.0,5000.0,90.0,4.263017,4.263017,4.736336,True,22.03,0.0
R0=7500.0,408.0,272.0,7500.0,90.0,2.841625,2.841625,4.656224,True,33.06,0.0
R0=10000.0,408.0,272.0,10000.0,90.0,2.131074,2.131074,4.576168,True,44.09,0.0
R0=15000.0,408.0,272.0,15000.0,90.0,1.420619,1.420619,4.416112,True,66.15,0.0
R0=20000.0,408.0,272.0,20000.0,90.0,1.065428,1.065428,4.256084,True,88.21,0.0
