case_name,max_required_overload_g,max_actual_overload_g,miss_distance_m,intercepted,flight_time_s,saturation_ratio
无姿态回路,5.329316,5.329316,4.49642,True,17.62,0.0
二阶姿态回路,8375.33781,20.0,7.68025,False,17.82,0.915872
